"line","token","value","mode"
"235","--font-size-ds-display-xxl","80px","light"
"236","--font-size-ds-display-xxl--line-height","1.05","light"
"237","--font-size-ds-display-xl","64px","light"
"238","--font-size-ds-display-xl--line-height","1.1","light"
"239","--font-size-ds-display-l","36px","light"
"240","--font-size-ds-display-l--line-height","1.2","light"
"241","--font-size-ds-h1","30px","light"
"242","--font-size-ds-h1--line-height","1.3","light"
"243","--font-size-ds-h2","24px","light"
"244","--font-size-ds-h2--line-height","1.3","light"
"245","--font-size-ds-h3","20px","light"
"246","--font-size-ds-h3--line-height","1.4","light"
"247","--font-size-ds-h4","18px","light"
"248","--font-size-ds-h4--line-height","1.4","light"
"249","--font-size-ds-h5","16px","light"
"250","--font-size-ds-h5--line-height","1.4","light"
"251","--font-size-ds-h6","14px","light"
"252","--font-size-ds-h6--line-height","1.5","light"
"253","--font-size-ds-subtitle-l","18px","light"
"254","--font-size-ds-subtitle-l--line-height","1.5","light"
"255","--font-size-ds-subtitle-r","16px","light"
"256","--font-size-ds-subtitle-r--line-height","1.5","light"
"257","--font-size-ds-body-l","18px","light"
"258","--font-size-ds-body-l--line-height","1.6","light"
"259","--font-size-ds-body-r","14px","light"
"260","--font-size-ds-body-r--line-height","1.6","light"
"261","--font-size-ds-body-s","13px","light"
"262","--font-size-ds-body-s--line-height","1.6","light"
"263","--font-size-ds-caption-l","12px","light"
"264","--font-size-ds-caption-l--line-height","1.4","light"
"265","--font-size-ds-caption-r","11px","light"
"266","--font-size-ds-caption-r--line-height","1.4","light"
"267","--font-size-ds-caption-s","10px","light"
"268","--font-size-ds-caption-s--line-height","1.4","light"
"269","--font-size-ds-label-l","14px","light"
"270","--font-size-ds-label-l--line-height","1.4","light"
"271","--font-size-ds-label-r","13px","light"
"272","--font-size-ds-label-r--line-height","1.4","light"
"273","--font-size-ds-label-s","11px","light"
"274","--font-size-ds-label-s--line-height","1.4","light"
"277","--spacing-section","32px","light"
"278","--spacing-content","16px","light"
"279","--spacing-element","12px","light"
"280","--spacing-compact","8px","light"
"283","--filter-tree-line-width","1.5px","light"
"284","--filter-tree-control-size","16px","light"
"285","--filter-tree-control-gap","12px","light"
"286","--filter-tree-control-center-offset","16px","light"
"287","--filter-tree-rail-offset","0px","light"
"288","--filter-tree-control-edge-offset","var(--filter-tree-root-branch-length)","light"
"289","--filter-tree-stem-offset","calc(var(--filter-tree-control-center-offset) + 2px)","light"
"290","--filter-tree-child-stem-offset","-16px","light"
"291","--filter-tree-root-branch-length","16px","light"
"292","--filter-tree-branch-length","16px","light"
"293","--filter-tree-child-indent","8px","light"
"294","--filter-tree-connector-overlap","0px","light"
"295","--filter-tree-node-center","16px","light"
"296","--filter-tree-bridge-offset","var(--filter-tree-control-center-offset)","light"
"297","--filter-tree-bridge-height","32px","light"
"298","--filter-tree-row-min-height","32px","light"
"299","--filter-tree-row-min-height-child","32px","light"
"300","--filter-tree-disclosure-size","32px","light"
"301","--filter-tree-disclosure-icon-size","14px","light"
"302","--filter-tree-line-opacity-muted","0.6","light"
"303","--filter-tree-line-opacity-active","0.95","light"
"304","--color-text-tertiary","#6b7280","light"
"305","--color-separator","#d1d5db","light"
"306","--color-gold-star","#e8b931","light"
"307","--color-filter-tree-line","#1b6b4a","light"
"315","--color-bg-primary","#0a0a0a","dark"
"316","--color-bg-secondary","#171717","dark"
"317","--color-bg-tertiary","#262626","dark"
"318","--color-surface","#171717","dark"
"319","--color-surface-hover","#262626","dark"
"320","--color-surface-overlay","rgba(0, 0, 0, 0.7)","dark"
"323","--color-text-primary","#f5f5f5","dark"
"324","--color-text-secondary","#a3a3a3","dark"
"325","--color-text-muted","#737373","dark"
"326","--color-text-inverse","#0a0a0a","dark"
"327","--color-text-on-primary","#ffffff","dark"
"330","--color-border-default","#404040","dark"
"331","--color-border-light","#262626","dark"
"332","--color-border-strong","#525252","dark"
"333","--color-border-focus","#22c55e","dark"
"334","--color-separator","#404040","dark"
"335","--color-filter-tree-line","#4ade80","dark"
"338","--color-primary-50","#052e16","dark"
"339","--color-primary-100","#145239","dark"
"340","--color-primary-200","#166534","dark"
"341","--color-primary-300","#22c55e","dark"
"342","--color-primary-400","#4ade80","dark"
"343","--color-primary-500","#22c55e","dark"
"344","--color-primary-600","#16a34a","dark"
"345","--color-primary-700","#1b6b4a","dark"
"346","--color-primary-800","#dcfce7","dark"
"347","--color-primary-900","#bbf7d0","dark"
"348","--color-primary-950","#f0fdf4","dark"
"351","--color-neutral-50","#fafafa","dark"
"352","--color-neutral-100","#1a1a1a","dark"
"353","--color-neutral-200","#262626","dark"
"354","--color-neutral-300","#404040","dark"
"355","--color-neutral-400","#525252","dark"
"356","--color-neutral-500","#737373","dark"
"357","--color-neutral-600","#a3a3a3","dark"
"358","--color-neutral-700","#d4d4d4","dark"
"359","--color-neutral-800","#e5e5e5","dark"
"360","--color-neutral-900","#f5f5f5","dark"
"361","--color-neutral-950","#fafafa","dark"
"364","--color-success","#22c55e","dark"
"365","--color-success-bg","#052e16","dark"
"366","--color-success-light","#145239","dark"
"367","--color-warning","#fb923c","dark"
"368","--color-warning-bg","#451a03","dark"
"369","--color-warning-light","#78350f","dark"
"370","--color-error","#f87171","dark"
"371","--color-error-bg","#450a0a","dark"
"372","--color-error-light","#7f1d1d","dark"
"373","--color-info","#60a5fa","dark"
"374","--color-info-bg","#1e3a5f","dark"
"375","--color-info-light","#1e40af","dark"
"802","--tree-line-color","var(--color-filter-tree-line)","light-post-dark"
"803","--tree-line-color-rgb","27 107 74","light-post-dark"
"807","--tree-line-color-rgb","74 222 128","light-post-dark"
